開催都道府県,企業名,メールアドレス,電話番号,ホームページ,交通費区分,交通費金額,支給単位,対象者・地域条件,対象交通手段,精算・申請条件,外部助成制度,送迎,交通費原文,全額割合,一部割合,条件付き割合,金額不明割合,掲載コース数,マイナビ企業ID,連絡先最終確認,参照URL
広島県,(有)CS建築事務所,y-yamashita@csken.com,082-293-0702,https://www.csken.com/company/,全額 1件,全額,,市内者; 地域別; 個別相談,,,,,支給あり 広島市内全額支給/その他エリア応相談,100.0%,0.0%,0.0%,0.0%,1,249191,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=249191&optNo=XBfAy
岩手県,(有)光成工業,kohsei@kohsei-l.co.jp; masamitsu@kohsei-l.co.jp; suzu@kohsei-l.co.jp,080-5746-5299; 090-9634-5890,http://www.kohsei-l.co.jp/,条件付き（規定等） 1件,,,地域別,,領収書必須,,,支給あり エリアに応じて支給条件あり※ご参加前に担当者へご確認ください 領収証等（デジタル可）金額の確認できるものを提示していただきます。,0.0%,0.0%,100.0%,0.0%,1,282334,2026-09-23T13:56:42+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=282334&optNo=KWBUs
三重県,(有)北山建築【想ほーむ】,yoshimoto@kokorohome.co.jp,,https://kokorohome.co.jp/; https://linktr.ee/kitayama.kenchiku; https://www.youtube.com/@housetour3957,条件付き（規定等） 1件,,,遠方者; 個別相談,,,,,支給あり 遠方から来られる方は、交通費をお出しします。要相談,0.0%,0.0%,100.0%,0.0%,1,208184,2026-09-24T07:06:18+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=208184&optNo=1koaW
北海道,(有)北広牧場,recruit@hokkoh-farm.co.jp,0156-64-3047,https://hokkoh-farm.co.jp/,"一部（30,000円） 1件",30000,,,,,,,支給あり 道内からお越しの方：交通費上限1万円 道外からお越しの方：交通費上限3万円,0.0%,100.0%,0.0%,0.0%,1,216824,2026-09-25T14:12:54+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=216824&optNo=-fDol
福島県,(有)吉田工業,jinji@yoshida-kougyou.net,0246-63-9238,https://tinyurl.com/yjmn27b4; https://www.instagram.com/_y.k.yoshida/; https://yoshida-kougyou.net/,"一部（30,000円） 1件",30000,,,,領収書必須; 印鑑必須,,,"支給あり （※合計上限30,000円） ※印鑑をご持参下さい ※領収書をご提出いただきます",0.0%,100.0%,0.0%,0.0%,1,287977,2026-09-22T10:55:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=287977&optNo=Yk9wl
宮城県,(有)弘栄電気,kouei-d@poppy.ocn.ne.jp,0134-62-3524,http://kouei-dn.com/,条件付き（規定等） 1件,,,会社規定,,,,,支給あり ※当社規定による,0.0%,0.0%,100.0%,0.0%,1,253575,2026-09-25T14:13:22+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=253575&optNo=OSuTq
福島県,(有)日本福祉介護サービス,saiyo@nfks.jp,0242-27-7400,,金額不明 1件,,,,,,,,支給あり,0.0%,0.0%,0.0%,100.0%,1,281601,2026-09-23T13:55:33+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=281601&optNo=S0dhd
鳥取県,(有)河島農具製作所,recruit@kawashima-group.com,0859-22-9341,https://kawashima-group.com/,条件付き（規定等） 2件,,,,,,,,支給あり 条件に応じた支給あり,0.0%,0.0%,100.0%,0.0%,2,280334,2026-09-23T13:53:17+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=280334&optNo=YOg4U
山梨県,(有)湖南荘,info@konansou.com,0555-72-2166,https://www.konansou.com/,"一部（3,000円） 1件",3000,,,,,,,"支給あり 一律3,000円",0.0%,100.0%,0.0%,0.0%,1,230775,2026-09-23T08:03:34+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=230775&optNo=6VFvH
鹿児島県,(有)鹿屋電子工業,soumu@kanoyadenshi.com,0994-43-8851,https://www.kanoyadenshi.com,条件付き（規定等） 2件,,,,,,,,支給あり １部支給。参加者の交通費を確認後に社内規定に照らし合わせて、支給額を決定します。,0.0%,0.0%,100.0%,0.0%,2,262017,2026-09-23T13:57:16+09:00,https://job.mynavi.jp/28/pc/corpinfo/displayInternship/index?corpId=262017&optNo=rvJoX
